,Pre-pulse (mV),,Holding Potential: -120mV,,,,,,,,,,,,,,,,,,,,
Time (ms),-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,,,,,,,,,
46.00,-7.67E-12,-1.10E-11,7.35E-12,-1.80E-11,-4.94E-12,-2.72E-11,-4.16E-11,-6.02E-11,-7.81E-11,-1.04E-10,-1.62E-10,-2.43E-10,-4.54E-10,-7.89E-10,,,,,,,,,
46.10,-1.61E-11,-7.27E-12,2.35E-12,-3.89E-11,-1.53E-11,-2.16E-11,-4.62E-11,-7.02E-11,-9.37E-11,-9.98E-11,-1.53E-10,-2.49E-10,-4.53E-10,-7.67E-10,,,,,,,,,
46.20,-2.55E-11,2.11E-12,-2.96E-12,-1.98E-11,-9.63E-12,-1.81E-11,-5.12E-11,-7.80E-11,-9.44E-11,-1.05E-10,-1.43E-10,-2.45E-10,-4.60E-10,-7.75E-10,,,,,,,,,
46.30,-1.05E-11,1.80E-12,3.60E-12,-1.17E-11,-5.88E-12,-1.66E-11,-4.19E-11,-8.14E-11,-8.00E-11,-1.23E-10,-1.45E-10,-2.46E-10,-4.53E-10,-7.54E-10,,,,,,,,,
46.40,-1.73E-12,-4.14E-12,-6.40E-12,4.24E-12,-7.13E-12,-3.16E-11,-3.91E-11,-6.64E-11,-8.94E-11,-1.05E-10,-1.45E-10,-2.52E-10,-4.55E-10,-7.49E-10,,,,,,,,,
46.50,-3.29E-12,-2.01E-11,-3.27E-12,1.17E-11,-2.15E-11,-2.78E-11,-5.09E-11,-5.95E-11,-1.02E-10,-1.06E-10,-1.64E-10,-2.36E-10,-4.53E-10,-7.76E-10,,,,,,,,,
46.60,-1.42E-12,-1.73E-11,7.89E-13,1.39E-11,-3.15E-11,-2.63E-11,-4.03E-11,-5.30E-11,-1.02E-10,-1.17E-10,-1.74E-10,-2.45E-10,-4.74E-10,-7.91E-10,,,,,,,,,
46.70,-2.04E-12,5.86E-12,8.92E-12,-5.14E-12,-2.03E-11,-3.47E-11,-3.00E-11,-7.08E-11,-9.09E-11,-9.35E-11,-1.76E-10,-2.49E-10,-4.82E-10,-7.82E-10,,,,,,,,,
46.80,-5.80E-12,2.43E-11,1.11E-11,-1.38E-13,-3.53E-11,-3.69E-11,-3.09E-11,-7.89E-11,-8.15E-11,-9.07E-11,-1.69E-10,-2.29E-10,-4.72E-10,-7.87E-10,,,,,,,,,
46.90,-5.48E-12,1.46E-11,-1.05E-11,1.21E-11,-1.06E-11,-3.44E-11,-3.94E-11,-6.64E-11,-7.37E-11,-8.35E-11,-1.71E-10,-2.26E-10,-4.48E-10,-7.82E-10,,,,,,,,,
47.00,5.46E-12,-1.54E-11,-1.49E-13,7.05E-12,-7.44E-12,-2.50E-11,-4.16E-11,-6.17E-11,-8.00E-11,-1.16E-10,-1.62E-10,-2.19E-10,-4.43E-10,-7.94E-10,,,,,,,,,
47.10,5.77E-12,-1.10E-11,-6.40E-12,3.30E-12,-1.82E-12,-1.37E-11,-3.47E-11,-6.27E-11,-7.31E-11,-1.13E-10,-1.47E-10,-2.26E-10,-4.58E-10,-7.78E-10,,,,,,,,,
47.20,4.83E-12,-1.32E-11,5.17E-12,1.05E-11,-1.51E-12,-9.68E-12,-2.37E-11,-5.99E-11,-7.40E-11,-1.10E-10,-1.51E-10,-2.32E-10,-4.53E-10,-7.73E-10,,,,,,,,,
47.30,-2.04E-12,-2.04E-11,3.60E-12,6.74E-12,-8.07E-12,-1.84E-11,-4.56E-11,-7.36E-11,-8.44E-11,-1.22E-10,-1.38E-10,-2.25E-10,-4.55E-10,-7.78E-10,,,,,,,,,
47.40,1.20E-11,-5.39E-12,1.74E-11,1.11E-12,4.12E-12,-1.41E-11,-5.16E-11,-8.17E-11,-9.28E-11,-1.08E-10,-1.44E-10,-2.39E-10,-4.61E-10,-7.68E-10,,,,,,,,,
47.50,-8.92E-12,3.67E-12,2.11E-11,-3.58E-12,-6.19E-12,-1.50E-11,-5.34E-11,-7.08E-11,-8.50E-11,-1.13E-10,-1.54E-10,-2.45E-10,-4.67E-10,-7.43E-10,,,,,,,,,
47.60,-6.42E-12,5.23E-12,2.99E-11,3.30E-12,-2.76E-12,-2.72E-11,-3.84E-11,-6.08E-11,-7.28E-11,-1.17E-10,-1.50E-10,-2.35E-10,-4.60E-10,-7.53E-10,,,,,,,,,
47.70,2.64E-12,-8.21E-12,2.42E-11,2.17E-11,-9.63E-12,-4.41E-11,-4.69E-11,-6.39E-11,-6.90E-11,-1.19E-10,-1.54E-10,-2.27E-10,-4.58E-10,-7.68E-10,,,,,,,,,
47.80,7.69E-13,-1.66E-11,1.42E-11,2.68E-12,-1.62E-11,-1.16E-11,-4.16E-11,-6.61E-11,-8.18E-11,-1.00E-10,-1.49E-10,-2.15E-10,-4.59E-10,-7.92E-10,,,,,,,,,
47.90,-5.48E-12,-5.39E-12,4.77E-13,-1.39E-11,-1.78E-11,-1.03E-11,-2.59E-11,-7.58E-11,-8.34E-11,-1.07E-10,-1.47E-10,-2.32E-10,-4.38E-10,-7.97E-10,,,,,,,,,
48.00,4.21E-12,1.15E-11,1.10E-12,-1.64E-11,-2.49E-11,-2.13E-11,-2.15E-11,-8.21E-11,-9.31E-11,-1.08E-10,-1.57E-10,-2.29E-10,-4.42E-10,-7.95E-10,,,,,,,,,
48.10,9.52E-12,6.49E-12,-7.74E-13,-1.58E-11,-1.06E-11,-4.69E-11,-3.22E-11,-7.89E-11,-9.84E-11,-1.17E-10,-1.50E-10,-2.17E-10,-4.53E-10,-7.97E-10,,,,,,,,,
48.20,2.98E-11,2.18E-11,-1.55E-11,-2.64E-12,1.93E-12,-3.91E-11,-2.62E-11,-7.61E-11,-7.28E-11,-1.10E-10,-1.41E-10,-2.39E-10,-4.43E-10,-7.94E-10,,,,,,,,,
48.30,3.58E-12,1.37E-11,-8.59E-12,5.18E-12,-7.76E-12,-4.59E-11,-1.94E-11,-7.24E-11,-7.03E-11,-1.04E-10,-1.46E-10,-2.54E-10,-4.58E-10,-7.85E-10,,,,,,,,,
48.40,-4.23E-12,-9.46E-12,4.54E-12,7.68E-12,-1.18E-11,-3.16E-11,-2.65E-11,-7.49E-11,-8.90E-11,-1.06E-10,-1.49E-10,-2.74E-10,-4.72E-10,-7.91E-10,,,,,,,,,
48.50,-8.61E-12,-1.04E-11,-1.64E-11,-4.83E-12,-5.88E-12,-3.03E-11,-1.65E-11,-8.52E-11,-7.65E-11,-1.29E-10,-1.50E-10,-2.57E-10,-4.68E-10,-7.65E-10,,,,,,,,,
48.60,-7.67E-12,-6.02E-12,-1.08E-11,-1.36E-11,-1.21E-11,-4.34E-11,-1.75E-11,-7.80E-11,-6.59E-11,-1.17E-10,-1.50E-10,-2.44E-10,-4.53E-10,-7.53E-10,,,,,,,,,
48.70,-2.98E-12,-4.46E-12,-6.09E-12,-8.89E-12,-2.03E-11,-2.78E-11,-4.37E-11,-8.08E-11,-6.97E-11,-1.00E-10,-1.43E-10,-2.45E-10,-4.50E-10,-7.65E-10,,,,,,,,,
48.80,-4.23E-12,-2.16E-11,9.23E-12,-1.92E-11,-3.09E-11,-1.72E-11,-5.84E-11,-8.64E-11,-7.72E-11,-9.95E-11,-1.35E-10,-2.28E-10,-4.55E-10,-7.64E-10,,,,,,,,,
48.90,-3.92E-12,-1.16E-11,1.10E-12,-2.33E-11,-6.51E-12,-2.59E-11,-4.69E-11,-8.96E-11,-9.37E-11,-1.10E-10,-1.33E-10,-2.14E-10,-4.64E-10,-7.71E-10,,,,,,,,,
49.00,-1.14E-11,1.48E-12,1.64E-13,-1.08E-11,-5.57E-12,-2.47E-11,-4.03E-11,-7.58E-11,-1.00E-10,-1.02E-10,-1.40E-10,-2.19E-10,-4.71E-10,-7.87E-10,,,,,,,,,
49.10,7.65E-12,2.73E-12,-2.65E-12,-1.80E-11,-7.76E-12,-1.53E-11,-4.75E-11,-6.67E-11,-7.72E-11,-9.63E-11,-1.66E-10,-2.39E-10,-4.61E-10,-7.82E-10,,,,,,,,,
49.20,1.92E-11,6.17E-12,-1.40E-12,-2.23E-11,-8.70E-12,-2.44E-11,-4.12E-11,-6.58E-11,-8.31E-11,-8.98E-11,-1.82E-10,-2.47E-10,-4.66E-10,-7.73E-10,,,,,,,,,
49.30,4.83E-12,2.73E-12,-7.74E-13,-8.89E-12,-9.63E-12,-3.09E-11,-4.19E-11,-6.61E-11,-8.90E-11,-9.01E-11,-1.65E-10,-2.36E-10,-4.63E-10,-7.85E-10,,,,,,,,,
49.40,-5.80E-12,2.73E-12,5.48E-12,-5.14E-12,-4.63E-12,-3.84E-11,-4.28E-11,-7.24E-11,-8.53E-11,-1.17E-10,-1.68E-10,-2.20E-10,-4.63E-10,-7.82E-10,,,,,,,,,
49.50,3.90E-12,-7.89E-12,1.30E-11,-1.39E-12,-1.84E-11,-3.47E-11,-3.12E-11,-8.24E-11,-7.56E-11,-1.17E-10,-1.71E-10,-2.32E-10,-4.68E-10,-7.62E-10,,,,,,,,,
49.60,-5.17E-12,-1.79E-11,1.20E-11,2.36E-12,-2.21E-11,-2.00E-11,-4.72E-11,-7.52E-11,-8.44E-11,-1.36E-10,-1.43E-10,-2.38E-10,-4.69E-10,-7.67E-10,,,,,,,,,
49.70,-1.49E-11,-1.16E-11,5.17E-12,-1.01E-11,-3.21E-11,-1.78E-11,-5.47E-11,-7.17E-11,-6.72E-11,-1.27E-10,-1.41E-10,-2.39E-10,-4.66E-10,-7.71E-10,,,,,,,,,
49.80,-2.36E-12,-6.64E-12,-1.14E-11,-8.58E-12,-1.53E-11,-8.75E-12,-3.44E-11,-5.99E-11,-5.68E-11,-1.05E-10,-1.49E-10,-2.30E-10,-4.72E-10,-7.89E-10,,,,,,,,,
49.90,8.27E-12,1.77E-11,-9.53E-12,-6.39E-12,-7.76E-12,-1.87E-11,-4.59E-11,-6.77E-11,-7.25E-11,-1.09E-10,-1.40E-10,-2.04E-10,-4.78E-10,-7.65E-10,,,,,,,,,
50.00,-2.04E-12,7.42E-12,7.89E-13,-6.39E-12,-3.07E-12,-3.38E-11,-3.34E-11,-7.52E-11,-8.56E-11,-1.18E-10,-1.41E-10,-2.17E-10,-4.79E-10,-7.58E-10,,,,,,,,,
50.10,-1.49E-11,8.99E-12,-1.71E-12,-1.51E-11,-2.44E-12,-2.84E-11,-3.12E-11,-8.30E-11,-8.53E-11,-1.12E-10,-1.39E-10,-2.34E-10,-4.70E-10,-7.76E-10,,,,,,,,,
50.20,-1.33E-11,-4.77E-12,6.10E-12,-3.89E-12,-1.12E-11,-3.38E-11,-4.53E-11,-7.49E-11,-8.31E-11,-1.05E-10,-1.52E-10,-2.27E-10,-4.77E-10,-7.75E-10,,,,,,,,,
50.30,-1.39E-11,-1.32E-11,7.98E-12,1.46E-11,-1.96E-11,-5.25E-11,-4.12E-11,-6.58E-11,-7.28E-11,-1.10E-10,-1.55E-10,-2.33E-10,-4.57E-10,-7.72E-10,,,,,,,,,
50.40,-1.11E-12,-7.91E-14,1.74E-11,1.08E-11,-2.21E-11,-3.13E-11,-3.31E-11,-6.64E-11,-7.78E-11,-1.24E-10,-1.62E-10,-2.30E-10,-4.48E-10,-7.77E-10,,,,,,,,,
50.50,9.83E-12,4.30E-12,2.17E-11,-7.64E-12,-1.71E-11,-2.34E-11,-3.78E-11,-6.80E-11,-7.53E-11,-1.09E-10,-1.49E-10,-2.38E-10,-4.51E-10,-7.82E-10,,,,,,,,,
50.60,-1.69E-13,2.73E-12,1.95E-11,-2.48E-11,-2.31E-11,-1.72E-11,-3.91E-11,-6.70E-11,-7.00E-11,-9.57E-11,-1.46E-10,-2.30E-10,-4.70E-10,-7.93E-10,,,,,,,,,
50.70,3.58E-12,6.80E-12,1.89E-11,-1.45E-11,-1.93E-11,-2.53E-11,-3.69E-11,-7.71E-11,-6.78E-11,-1.12E-10,-1.43E-10,-2.16E-10,-4.83E-10,-7.77E-10,,,,,,,,,
50.80,-4.23E-12,-1.29E-11,9.85E-12,-1.45E-11,-2.49E-11,-4.94E-11,-2.94E-11,-8.21E-11,-8.18E-11,-1.09E-10,-1.43E-10,-2.18E-10,-4.72E-10,-7.64E-10,,,,,,,,,
50.90,7.96E-12,-1.64E-12,4.54E-12,-1.73E-11,-2.49E-11,-4.00E-11,-2.81E-11,-6.33E-11,-9.25E-11,-1.09E-10,-1.36E-10,-2.37E-10,-4.73E-10,-7.62E-10,,,,,,,,,
51.00,-1.11E-12,1.37E-11,-3.27E-12,-1.67E-11,-1.90E-11,-3.09E-11,-2.81E-11,-6.14E-11,-8.34E-11,-1.14E-10,-1.26E-10,-2.39E-10,-4.55E-10,-7.64E-10,,,,,,,,,
51.10,-1.08E-11,1.18E-11,-1.09E-12,-1.64E-11,-1.62E-11,-3.72E-11,-5.06E-11,-6.74E-11,-7.93E-11,-1.39E-10,-1.39E-10,-2.37E-10,-4.50E-10,-7.77E-10,,,,,,,,,
51.20,8.27E-12,9.92E-12,-7.74E-13,-2.64E-12,-2.90E-11,-2.84E-11,-3.66E-11,-6.83E-11,-7.12E-11,-1.25E-10,-1.44E-10,-2.42E-10,-4.44E-10,-7.67E-10,,,,,,,,,
51.30,-3.92E-12,2.65E-11,2.39E-11,-1.08E-11,-2.34E-11,-4.44E-11,-2.69E-11,-6.67E-11,-8.06E-11,-1.29E-10,-1.43E-10,-2.46E-10,-4.50E-10,-7.84E-10,,,,,,,,,
51.40,-8.92E-12,2.56E-11,2.08E-11,-1.08E-12,-1.46E-11,-3.53E-11,-2.12E-11,-8.02E-11,-9.34E-11,-1.37E-10,-1.39E-10,-2.35E-10,-4.47E-10,-7.60E-10,,,,,,,,,
51.50,2.33E-12,-4.14E-12,1.27E-11,2.68E-12,-1.21E-11,-1.91E-11,-3.03E-11,-7.20E-11,-1.01E-10,-1.12E-10,-1.53E-10,-2.21E-10,-4.57E-10,-7.63E-10,,,,,,,,,
51.60,-2.36E-12,-1.66E-11,8.92E-12,-1.38E-13,-1.37E-11,-1.56E-11,-4.50E-11,-6.20E-11,-8.84E-11,-9.79E-11,-1.66E-10,-2.05E-10,-4.72E-10,-7.70E-10,,,,,,,,,
51.70,-7.05E-12,-1.70E-11,2.45E-11,-7.64E-12,-2.46E-11,-1.97E-11,-4.81E-11,-5.36E-11,-8.75E-11,-8.48E-11,-1.76E-10,-2.16E-10,-4.67E-10,-7.72E-10,,,,,,,,,
51.80,-6.73E-12,-1.20E-11,1.36E-11,3.30E-12,-2.15E-11,-1.28E-11,-2.69E-11,-6.02E-11,-9.78E-11,-1.08E-10,-1.72E-10,-2.21E-10,-4.80E-10,-7.75E-10,,,,,,,,,
51.90,1.44E-13,5.46E-13,-1.23E-11,-7.33E-12,-2.43E-11,-1.34E-11,-3.69E-11,-5.64E-11,-1.08E-10,-1.26E-10,-1.68E-10,-2.36E-10,-4.69E-10,-7.74E-10,,,,,,,,,
52.00,-1.89E-11,-7.04E-13,-2.36E-11,-8.89E-12,-3.03E-11,-4.68E-12,-2.87E-11,-5.67E-11,-9.44E-11,-9.79E-11,-1.64E-10,-2.44E-10,-4.56E-10,-7.92E-10,,,,,,,,,
52.10,-1.42E-11,1.48E-12,-1.70E-11,1.75E-13,-3.93E-11,-2.69E-11,-3.41E-11,-6.24E-11,-8.12E-11,-1.16E-10,-1.48E-10,-2.38E-10,-4.64E-10,-7.90E-10,,,,,,,,,
52.20,-6.42E-12,8.99E-12,-1.49E-13,-2.64E-12,2.25E-12,-2.84E-11,-3.75E-11,-4.95E-11,-8.87E-11,-1.14E-10,-1.58E-10,-2.33E-10,-4.65E-10,-7.78E-10,,,,,,,,,
52.30,4.57E-13,6.80E-12,1.17E-11,-1.70E-11,1.07E-11,-2.03E-11,-3.28E-11,-5.83E-11,-6.87E-11,-1.04E-10,-1.68E-10,-2.20E-10,-4.54E-10,-7.87E-10,,,,,,,,,
52.40,1.39E-12,8.05E-12,8.92E-12,-1.17E-11,2.56E-12,-2.22E-11,-4.47E-11,-7.17E-11,-5.37E-11,-1.04E-10,-1.45E-10,-2.36E-10,-4.73E-10,-7.88E-10,,,,,,,,,
52.50,7.96E-12,-7.04E-13,1.17E-11,-1.64E-11,-1.09E-11,-3.63E-11,-5.31E-11,-6.83E-11,-5.72E-11,-8.57E-11,-1.45E-10,-2.32E-10,-4.85E-10,-7.91E-10,,,,,,,,,
52.60,3.27E-12,-6.96E-12,5.48E-12,-2.64E-12,-2.49E-11,-1.44E-11,-4.94E-11,-7.49E-11,-7.28E-11,-8.48E-11,-1.40E-10,-2.27E-10,-4.80E-10,-7.92E-10,,,,,,,,,
52.70,1.08E-12,-1.32E-11,9.54E-12,-1.38E-13,-2.93E-11,-1.34E-11,-3.09E-11,-8.36E-11,-8.47E-11,-9.63E-11,-1.36E-10,-2.20E-10,-4.58E-10,-7.84E-10,,,,,,,,,
52.80,-5.48E-12,-1.33E-12,6.73E-12,-2.95E-12,-7.44E-12,-1.94E-11,-4.81E-11,-6.49E-11,-8.78E-11,-1.15E-10,-1.49E-10,-2.29E-10,-4.68E-10,-7.58E-10,,,,,,,,,
52.90,-1.64E-11,3.36E-12,-1.67E-11,-1.38E-13,-5.68E-13,-4.13E-11,-4.75E-11,-5.80E-11,-8.84E-11,-1.23E-10,-1.37E-10,-2.38E-10,-4.74E-10,-7.61E-10,,,,,,,,,
53.00,-1.17E-11,8.36E-12,-1.48E-11,-5.45E-12,-2.40E-11,-3.09E-11,-4.87E-11,-6.39E-11,-1.01E-10,-1.10E-10,-1.42E-10,-2.27E-10,-4.64E-10,-7.53E-10,,,,,,,,,
53.10,-2.61E-11,3.98E-12,-1.83E-11,-9.20E-12,-2.24E-11,-2.53E-11,-4.87E-11,-6.70E-11,-8.90E-11,-9.51E-11,-1.43E-10,-2.27E-10,-4.58E-10,-7.69E-10,,,,,,,,,
53.20,-3.05E-11,5.86E-12,-2.34E-12,-2.67E-11,-1.99E-11,-2.81E-11,-2.22E-11,-7.64E-11,-9.03E-11,-1.03E-10,-1.38E-10,-2.43E-10,-4.71E-10,-7.77E-10,,,,,,,,,
53.30,-2.17E-11,-1.33E-12,8.60E-12,-1.42E-11,-3.28E-11,-4.16E-11,-3.69E-11,-7.67E-11,-1.02E-10,-1.01E-10,-1.43E-10,-2.36E-10,-4.67E-10,-7.92E-10,,,,,,,,,
53.40,-2.24E-11,2.02E-11,1.33E-11,-9.83E-12,-2.43E-11,-4.41E-11,-5.03E-11,-7.20E-11,-9.56E-11,-1.11E-10,-1.66E-10,-2.12E-10,-4.31E-10,-8.04E-10,,,,,,,,,
53.50,-7.36E-12,8.99E-12,1.33E-11,-2.55E-11,-3.65E-11,-3.63E-11,-4.84E-11,-7.14E-11,-8.90E-11,-9.41E-11,-1.64E-10,-2.12E-10,-4.43E-10,-8.00E-10,,,,,,,,,
53.60,8.90E-12,8.05E-12,1.05E-11,-1.92E-11,-1.74E-11,-2.25E-11,-5.41E-11,-7.24E-11,-8.59E-11,-7.76E-11,-1.57E-10,-2.09E-10,-4.46E-10,-7.91E-10,,,,,,,,,
53.70,-1.11E-12,1.02E-11,4.23E-12,-1.86E-11,-1.62E-11,-3.06E-11,-5.25E-11,-6.08E-11,-8.00E-11,-1.18E-10,-1.53E-10,-2.16E-10,-4.59E-10,-7.84E-10,,,,,,,,,
53.80,-7.36E-12,9.30E-12,-9.84E-12,-1.39E-11,-2.90E-11,-1.44E-11,-4.22E-11,-6.77E-11,-8.47E-11,-1.24E-10,-1.53E-10,-2.24E-10,-4.53E-10,-7.96E-10,,,,,,,,,
53.90,-8.92E-12,-2.27E-12,-1.52E-11,-1.14E-11,-2.18E-11,-6.87E-12,-4.12E-11,-7.77E-11,-8.40E-11,-1.29E-10,-1.55E-10,-2.27E-10,-4.75E-10,-7.87E-10,,,,,,,,,
54.00,-2.17E-11,7.42E-12,-1.58E-11,-1.70E-11,-2.49E-11,-7.81E-12,-3.22E-11,-9.17E-11,-8.62E-11,-1.27E-10,-1.50E-10,-2.29E-10,-4.56E-10,-7.76E-10,,,,,,,,,
54.10,-1.80E-11,1.84E-11,-1.52E-11,-1.17E-11,-1.56E-11,-2.41E-11,-2.65E-11,-8.61E-11,-7.72E-11,-1.26E-10,-1.46E-10,-2.52E-10,-4.53E-10,-7.80E-10,,,,,,,,,
54.20,-1.42E-11,8.67E-12,-1.05E-11,-7.63E-13,-1.68E-11,-3.19E-11,-1.53E-11,-6.77E-11,-8.28E-11,-1.29E-10,-1.39E-10,-2.48E-10,-4.76E-10,-7.80E-10,,,,,,,,,
54.30,2.33E-12,-3.21E-12,-1.14E-11,2.05E-12,-1.78E-11,-4.47E-11,-2.81E-11,-5.77E-11,-9.25E-11,-1.18E-10,-1.32E-10,-2.38E-10,-4.75E-10,-7.85E-10,,,,,,,,,
54.40,8.27E-12,-1.16E-11,1.39E-11,-1.70E-12,-2.40E-11,-5.50E-11,-3.09E-11,-5.67E-11,-7.81E-11,-1.09E-10,-1.28E-10,-2.32E-10,-4.87E-10,-7.83E-10,,,,,,,,,
54.50,6.08E-12,-1.01E-11,3.29E-12,-4.51E-13,-2.15E-11,-4.38E-11,-4.44E-11,-6.64E-11,-8.22E-11,-9.76E-11,-1.38E-10,-2.26E-10,-4.72E-10,-7.78E-10,,,,,,,,,
54.60,6.40E-12,4.61E-12,6.73E-12,-9.83E-12,-1.12E-11,-4.28E-11,-5.00E-11,-7.36E-11,-8.44E-11,-9.04E-11,-1.48E-10,-2.25E-10,-4.57E-10,-7.79E-10,,,,,,,,,
54.70,-9.86E-12,-4.46E-12,1.58E-11,-1.98E-11,-4.94E-12,-1.78E-11,-3.87E-11,-7.42E-11,-6.87E-11,-9.41E-11,-1.49E-10,-2.25E-10,-4.65E-10,-7.80E-10,,,,,,,,,
54.80,-1.27E-11,6.17E-12,4.54E-12,-1.33E-11,-6.51E-12,-3.16E-11,-3.41E-11,-7.49E-11,-8.00E-11,-1.05E-10,-1.49E-10,-2.24E-10,-4.69E-10,-7.67E-10,,,,,,,,,
54.90,-1.55E-11,3.24E-11,4.85E-12,-1.61E-11,-8.07E-12,-2.06E-11,-3.12E-11,-6.55E-11,-6.68E-11,-1.10E-10,-1.58E-10,-2.23E-10,-4.58E-10,-7.75E-10,,,,,,,,,
55.00,-1.55E-11,2.24E-11,7.89E-13,-1.98E-11,-1.34E-11,-1.81E-11,-1.65E-11,-5.05E-11,-6.87E-11,-1.22E-10,-1.67E-10,-2.31E-10,-4.53E-10,-7.98E-10,,,,,,,,,
55.10,-1.92E-11,4.30E-12,1.27E-11,-1.80E-11,-1.40E-11,-4.06E-12,-1.56E-11,-6.39E-11,-8.69E-11,-1.32E-10,-1.68E-10,-2.30E-10,-4.56E-10,-7.92E-10,,,,,,,,,
55.20,-1.49E-11,-7.27E-12,-2.65E-12,6.74E-12,-1.31E-11,-7.81E-12,-2.03E-11,-6.45E-11,-1.00E-10,-1.13E-10,-1.43E-10,-2.32E-10,-4.62E-10,-7.82E-10,,,,,,,,,
55.30,-1.05E-11,2.11E-12,-2.17E-11,-3.89E-12,-1.09E-11,-2.06E-11,-3.84E-11,-5.99E-11,-9.62E-11,-9.88E-11,-1.52E-10,-2.34E-10,-4.57E-10,-7.84E-10,,,,,,,,,
55.40,-9.23E-12,-3.92E-13,-1.73E-11,-1.26E-11,-1.19E-12,-5.19E-11,-4.28E-11,-6.30E-11,-8.87E-11,-9.13E-11,-1.52E-10,-2.29E-10,-4.63E-10,-7.91E-10,,,,,,,,,
55.50,2.33E-12,4.92E-12,2.04E-12,-2.39E-11,9.12E-12,-5.19E-11,-2.72E-11,-7.24E-11,-9.53E-11,-9.63E-11,-1.58E-10,-2.25E-10,-4.73E-10,-8.04E-10,,,,,,,,,
55.60,7.69E-13,2.73E-12,1.10E-12,-2.11E-11,-8.38E-12,-3.38E-11,-3.47E-11,-6.70E-11,-8.34E-11,-1.14E-10,-1.58E-10,-2.27E-10,-4.61E-10,-7.85E-10,,,,,,,,,
55.70,1.30E-11,6.80E-12,1.36E-11,-1.08E-11,-1.46E-11,-1.94E-11,-3.84E-11,-6.92E-11,-7.53E-11,-1.19E-10,-1.60E-10,-2.20E-10,-4.44E-10,-7.69E-10,,,,,,,,,
55.80,-3.29E-12,2.34E-11,1.27E-11,-1.17E-11,-1.46E-11,-3.22E-11,-2.94E-11,-4.64E-11,-7.40E-11,-1.28E-10,-1.58E-10,-2.34E-10,-4.43E-10,-7.69E-10,,,,,,,,,
55.90,-9.86E-12,1.02E-11,1.89E-11,-1.08E-11,-3.38E-12,-3.56E-11,-3.87E-11,-5.45E-11,-6.43E-11,-1.04E-10,-1.62E-10,-2.34E-10,-4.58E-10,-7.77E-10,,,,,,,,,
56.00,-4.23E-12,-3.21E-12,-4.52E-12,-1.26E-11,4.12E-12,-2.75E-11,-4.25E-11,-6.20E-11,-8.94E-11,-1.10E-10,-1.45E-10,-2.57E-10,-4.60E-10,-7.94E-10,,,,,,,,,
56.10,-2.02E-11,-2.58E-12,-6.40E-12,1.42E-11,-2.44E-12,-2.44E-11,-4.34E-11,-7.24E-11,-8.25E-11,-1.27E-10,-1.42E-10,-2.52E-10,-4.57E-10,-8.04E-10,,,,,,,,,
56.20,-2.64E-11,-1.95E-12,-7.34E-12,9.24E-12,-7.44E-12,-1.53E-11,-5.81E-11,-6.67E-11,-8.06E-11,-9.98E-11,-1.33E-10,-2.38E-10,-4.43E-10,-7.92E-10,,,,,,,,,
56.30,-1.20E-11,5.46E-13,-5.46E-12,2.68E-12,-1.37E-11,-2.38E-11,-5.81E-11,-6.55E-11,-7.90E-11,-9.60E-11,-1.38E-10,-2.31E-10,-4.43E-10,-7.68E-10,,,,,,,,,
56.40,-1.27E-11,8.36E-12,9.23E-12,-7.95E-12,-1.46E-11,-4.00E-11,-4.34E-11,-6.30E-11,-7.97E-11,-1.13E-10,-1.48E-10,-2.50E-10,-4.38E-10,-7.73E-10,,,,,,,,,
56.50,-3.14E-11,-6.02E-12,4.85E-12,-6.70E-12,-1.37E-11,-5.16E-11,-3.53E-11,-6.24E-11,-6.97E-11,-1.25E-10,-1.64E-10,-2.45E-10,-4.53E-10,-7.69E-10,,,,,,,,,
56.60,-2.20E-11,1.68E-11,4.54E-12,3.61E-12,-1.09E-11,-3.84E-11,-3.06E-11,-7.20E-11,-6.84E-11,-1.11E-10,-1.64E-10,-2.46E-10,-4.56E-10,-7.75E-10,,,,,,,,,
56.70,-1.70E-11,3.43E-11,5.48E-12,-7.33E-12,-1.93E-11,-3.59E-11,-3.66E-11,-6.80E-11,-6.65E-11,-9.82E-11,-1.53E-10,-2.31E-10,-4.39E-10,-7.73E-10,,,,,,,,,
56.80,-1.99E-11,3.52E-11,1.58E-11,-4.51E-12,-2.28E-11,-1.97E-11,-3.44E-11,-6.08E-11,-8.12E-11,-1.14E-10,-1.53E-10,-2.37E-10,-4.45E-10,-7.67E-10,,,,,,,,,
56.90,-6.42E-12,6.49E-12,1.77E-11,-7.95E-12,-7.13E-12,-2.25E-11,-4.75E-11,-7.24E-11,-7.75E-11,-1.19E-10,-1.43E-10,-2.33E-10,-4.55E-10,-7.71E-10,,,,,,,,,
57.00,-1.27E-11,2.11E-12,1.77E-11,-1.17E-11,-9.01E-12,-1.16E-11,-4.28E-11,-7.52E-11,-9.22E-11,-1.10E-10,-1.46E-10,-2.25E-10,-4.49E-10,-7.84E-10,,,,,,,,,
57.10,-9.86E-12,-2.26E-11,1.17E-11,-3.26E-12,-7.44E-12,-5.00E-12,-4.56E-11,-5.36E-11,-1.01E-10,-1.22E-10,-1.46E-10,-2.34E-10,-4.57E-10,-7.78E-10,,,,,,,,,
