,Current Injected (pA),,,,,,,,,,,,
Time (ms),300,350,400,450,500,550,600,,,,,,
4.20,-5.94E-02,-5.93E-02,-5.93E-02,-5.93E-02,-5.94E-02,-5.99E-02,-5.92E-02,,,,,,
4.30,-5.95E-02,-5.95E-02,-5.91E-02,-5.92E-02,-5.94E-02,-5.98E-02,-5.92E-02,,,,,,
4.40,-5.96E-02,-5.93E-02,-5.92E-02,-5.92E-02,-5.93E-02,-5.97E-02,-5.92E-02,,,,,,
4.50,-5.94E-02,-5.93E-02,-5.94E-02,-5.91E-02,-5.92E-02,-5.99E-02,-5.91E-02,,,,,,
4.60,-5.96E-02,-5.96E-02,-5.91E-02,-5.90E-02,-5.91E-02,-5.98E-02,-5.93E-02,,,,,,
4.70,-5.94E-02,-5.94E-02,-5.93E-02,-5.92E-02,-5.94E-02,-5.98E-02,-5.92E-02,,,,,,
4.80,-5.94E-02,-5.94E-02,-5.92E-02,-5.92E-02,-5.94E-02,-5.98E-02,-5.91E-02,,,,,,
4.90,-5.93E-02,-5.94E-02,-5.93E-02,-5.91E-02,-5.92E-02,-5.98E-02,-5.92E-02,,,,,,
5.00,-5.96E-02,-5.92E-02,-5.92E-02,-5.92E-02,-5.94E-02,-5.98E-02,-5.92E-02,,,,,,
5.10,-5.94E-02,-5.94E-02,-5.92E-02,-5.92E-02,-5.93E-02,-5.96E-02,-5.91E-02,,,,,,
5.20,-5.95E-02,-5.94E-02,-5.95E-02,-5.92E-02,-5.94E-02,-5.98E-02,-5.91E-02,,,,,,
5.30,-5.95E-02,-5.95E-02,-5.95E-02,-5.91E-02,-5.92E-02,-5.98E-02,-5.91E-02,,,,,,
5.40,-5.92E-02,-5.94E-02,-5.93E-02,-5.94E-02,-5.92E-02,-5.97E-02,-5.93E-02,,,,,,
5.50,-5.96E-02,-5.95E-02,-5.93E-02,-5.92E-02,-5.92E-02,-5.99E-02,-5.92E-02,,,,,,
5.60,-5.96E-02,-5.93E-02,-5.93E-02,-5.94E-02,-5.92E-02,-5.96E-02,-5.92E-02,,,,,,
5.70,-5.94E-02,-5.93E-02,-5.91E-02,-5.92E-02,-5.93E-02,-5.99E-02,-5.91E-02,,,,,,
5.80,-5.93E-02,-5.93E-02,-5.93E-02,-5.92E-02,-5.93E-02,-5.98E-02,-5.91E-02,,,,,,
5.90,-5.93E-02,-5.93E-02,-5.92E-02,-5.93E-02,-5.92E-02,-5.98E-02,-5.92E-02,,,,,,
6.00,-5.95E-02,-5.94E-02,-5.94E-02,-5.92E-02,-5.94E-02,-5.97E-02,-5.92E-02,,,,,,
6.10,-5.95E-02,-5.92E-02,-5.93E-02,-5.93E-02,-5.95E-02,-5.97E-02,-5.93E-02,,,,,,
6.20,-5.94E-02,-5.94E-02,-5.92E-02,-5.91E-02,-5.93E-02,-5.99E-02,-5.93E-02,,,,,,
6.30,-5.95E-02,-5.92E-02,-5.92E-02,-5.92E-02,-5.94E-02,-5.97E-02,-5.92E-02,,,,,,
6.40,-5.93E-02,-5.94E-02,-5.93E-02,-5.91E-02,-5.93E-02,-5.98E-02,-5.91E-02,,,,,,
6.50,-5.94E-02,-5.93E-02,-5.93E-02,-5.92E-02,-5.93E-02,-5.98E-02,-5.92E-02,,,,,,
6.60,-5.94E-02,-5.93E-02,-5.93E-02,-5.92E-02,-5.93E-02,-5.97E-02,-5.91E-02,,,,,,
6.70,-5.93E-02,-5.95E-02,-5.92E-02,-5.92E-02,-5.93E-02,-5.99E-02,-5.90E-02,,,,,,
6.80,-5.93E-02,-5.95E-02,-5.92E-02,-5.91E-02,-5.93E-02,-5.97E-02,-5.92E-02,,,,,,
6.90,-5.94E-02,-5.94E-02,-5.93E-02,-5.91E-02,-5.95E-02,-5.96E-02,-5.90E-02,,,,,,
7.00,-5.93E-02,-5.93E-02,-5.93E-02,-5.90E-02,-5.93E-02,-5.98E-02,-5.90E-02,,,,,,
7.10,-5.94E-02,-5.94E-02,-5.93E-02,-5.93E-02,-5.93E-02,-6.00E-02,-5.89E-02,,,,,,
