Model,GNav17,GNav18,GNav19,GKdr,GKA,GKM,GH,GKleak
3973,0.046519,1.435013,3.429556,2.324142,13.60781,3.953182,1.568453,0.191622
4108,0.365709,1.789385,0.272479,3.061137,10.842615,3.417889,1.668107,0.127867
4129,0.071988,1.510869,3.948923,3.80177,9.303773,2.801847,1.735859,0.125463
4236,0.112966,0.813833,0.566001,1.781266,6.149387,1.774887,1.38073,0.044191
4273,0.305955,0.66692,1.377958,1.801562,4.33275,1.871675,0.931265,0.105819
4276,0.297806,1.688545,1.073051,3.963571,0.617945,2.72632,0.660153,0.003444
4362,0.100694,1.260355,2.782373,3.030467,1.106559,2.246042,0.580245,0.142704
4388,0.11665,1.750309,2.773021,3.840935,2.935094,2.413912,0.664635,0.076944
4446,0.3216,1.881229,0.320601,3.91948,4.354137,2.786181,1.293678,0.075543
4533,0.391574,0.780098,3.585329,1.721983,7.431623,1.811916,1.402202,0.154382
4537,0.281675,1.413239,1.754496,3.818431,16.982431,1.681147,1.578913,0.177841
4553,0.192052,1.247469,2.217902,2.778056,9.866869,2.209324,1.912296,0.09495
4567,0.38022,1.621847,2.052131,3.293277,9.908189,3.879796,1.976832,0.16317
4623,0.374147,1.02144,1.406424,2.347511,4.841576,2.637997,1.824849,0.033178
4666,0.170145,1.666158,2.670225,3.927449,5.801931,2.201736,0.504594,0.154272
4733,0.26911,0.926662,2.327953,2.212582,4.717495,2.375731,1.911182,0.042476
4773,0.176022,1.365937,2.554342,2.634076,14.338694,3.515591,1.822694,0.174102
4824,0.379053,0.905911,3.112222,2.207728,16.613471,3.842163,1.949688,0.14139
4850,0.106291,1.149265,3.977536,2.513842,6.409394,2.470319,1.952117,0.13371
4925,0.309919,1.11019,3.201471,2.705239,6.691417,0.650473,1.642618,0.174338
4939,0.330491,1.136527,1.167863,1.77892,3.201104,3.976024,1.217205,0.137733
5100,0.251221,0.961237,2.658455,1.428261,1.053311,3.403958,0.489037,0.038207
5147,0.312444,1.050706,2.012772,3.316425,5.13327,3.941472,1.08042,0.180777
5199,0.215032,1.232536,1.156948,1.871449,4.768035,3.063709,0.945711,0.181154
5231,0.235863,1.555478,1.092499,2.816172,6.131998,3.507323,1.234844,0.058772
5291,0.135935,1.765271,3.735223,3.90293,16.35075,1.852421,1.098196,0.010291
5324,0.199433,1.52213,0.55509,2.505834,5.245954,3.873685,1.180014,0.174478
5410,0.134832,1.282073,2.557702,2.715035,2.263176,3.233055,0.849493,0.069277
5486,0.162996,1.209681,2.669727,2.811937,5.231519,3.995622,1.322894,0.166477
5527,0.147381,0.662086,0.642989,1.379227,6.789788,2.411207,1.180915,0.071804
5542,0.151881,0.982721,2.763606,1.72735,8.56823,2.972647,1.535763,0.095234
5613,0.217572,0.479472,2.398438,0.832929,5.496646,2.43492,0.963572,0.132808
5626,0.080063,0.981695,3.396473,2.422616,0.436484,3.745621,1.064594,0.15825
5705,0.038916,1.164502,0.048119,2.873667,6.109307,0.963003,1.037703,0.09345
5719,0.323538,1.42989,1.583945,3.129297,0.689742,3.736844,1.404813,0.136498
5750,0.152085,0.875854,3.758886,1.952025,2.13008,3.015435,1.032552,0.189205
5765,0.048823,0.298092,0.398066,0.158717,2.678937,2.268733,1.109227,0.024363
5823,0.034427,1.537213,2.954022,3.140608,1.71221,3.961761,1.507344,0.15144
5851,0.046373,1.392347,3.692932,3.415791,5.480117,1.8878,1.45335,0.03461
5941,0.268854,1.590712,0.19176,3.407979,4.681939,2.974688,0.93817,0.154956
6163,0.058966,1.080763,3.011872,2.326911,2.426249,1.474534,0.65696,0.101263
6289,0.056546,1.649864,2.703374,3.799834,4.066301,0.570607,1.764509,0.152795
6327,0.324345,1.368498,2.122542,3.422175,3.681081,2.820287,0.933216,0.100779
6365,0.054802,1.344276,0.373292,2.409954,7.948396,2.245899,1.682841,0.157646
6472,9.3e-05,1.663889,1.392209,3.873307,16.291703,1.187413,1.845879,0.087006
6512,0.382641,0.900318,0.391176,1.945577,0.601181,2.410535,1.521558,0.036213
6584,0.026567,1.626703,3.14292,3.09317,11.580832,3.798677,1.353933,0.138334
