,Current Injected (pA),,,,,,,,,,,,,
Time (ms),800,850,900,950,1000,1050,,,,,,,,
5.30,-5.98E-02,-5.92E-02,-5.95E-02,-5.95E-02,-5.95E-02,-5.94E-02,,,,,,,,
5.40,-5.97E-02,-5.92E-02,-5.95E-02,-5.96E-02,-5.94E-02,-5.94E-02,,,,,,,,
5.50,-5.97E-02,-5.93E-02,-5.94E-02,-5.95E-02,-5.95E-02,-5.94E-02,,,,,,,,
5.60,-5.97E-02,-5.92E-02,-5.95E-02,-5.95E-02,-5.96E-02,-5.94E-02,,,,,,,,
5.70,-5.98E-02,-5.92E-02,-5.95E-02,-5.96E-02,-5.94E-02,-5.96E-02,,,,,,,,
5.80,-5.97E-02,-5.93E-02,-5.96E-02,-5.95E-02,-5.94E-02,-5.94E-02,,,,,,,,
5.90,-5.97E-02,-5.92E-02,-5.95E-02,-5.96E-02,-5.97E-02,-5.95E-02,,,,,,,,
6.00,-5.97E-02,-5.92E-02,-5.95E-02,-5.96E-02,-5.96E-02,-5.96E-02,,,,,,,,
6.10,-5.98E-02,-5.92E-02,-5.95E-02,-5.96E-02,-5.94E-02,-5.94E-02,,,,,,,,
6.20,-5.99E-02,-5.93E-02,-5.95E-02,-5.95E-02,-5.94E-02,-5.94E-02,,,,,,,,
6.30,-5.97E-02,-5.93E-02,-5.95E-02,-5.95E-02,-5.96E-02,-5.94E-02,,,,,,,,
6.40,-5.97E-02,-5.93E-02,-5.93E-02,-5.97E-02,-5.94E-02,-5.94E-02,,,,,,,,
6.50,-5.97E-02,-5.93E-02,-5.94E-02,-5.96E-02,-5.94E-02,-5.94E-02,,,,,,,,
6.60,-5.97E-02,-5.92E-02,-5.95E-02,-5.97E-02,-5.95E-02,-5.94E-02,,,,,,,,
6.70,-5.98E-02,-5.93E-02,-5.95E-02,-5.95E-02,-5.95E-02,-5.96E-02,,,,,,,,
6.80,-5.97E-02,-5.91E-02,-5.94E-02,-5.96E-02,-5.95E-02,-5.95E-02,,,,,,,,
6.90,-5.97E-02,-5.92E-02,-5.95E-02,-5.96E-02,-5.96E-02,-5.96E-02,,,,,,,,
7.00,-5.98E-02,-5.92E-02,-5.94E-02,-5.96E-02,-5.94E-02,-5.95E-02,,,,,,,,
7.10,-5.98E-02,-5.91E-02,-5.94E-02,-5.96E-02,-5.96E-02,-5.95E-02,,,,,,,,
7.20,-5.97E-02,-5.92E-02,-5.95E-02,-5.96E-02,-5.94E-02,-5.94E-02,,,,,,,,
7.30,-5.98E-02,-5.92E-02,-5.94E-02,-5.97E-02,-5.94E-02,-5.96E-02,,,,,,,,
7.40,-5.98E-02,-5.92E-02,-5.94E-02,-5.96E-02,-5.94E-02,-5.96E-02,,,,,,,,
7.50,-5.97E-02,-5.92E-02,-5.94E-02,-5.97E-02,-5.94E-02,-5.96E-02,,,,,,,,
